Neighbourhood,Pincode,Region Name ,Districtname
Mungeshpur B.O,110039,Delhi,North West Delhi
N.S.Mandi S.O,110033,Delhi,North West Delhi
Naharpur B.O,110085,Delhi,North West Delhi
Nangal Poona B.O,110036,Delhi,North West Delhi
Nangal Thakran B.O,110039,Delhi,North West Delhi
Narela S.O,110040,Delhi,North West Delhi
Naya Bans B.O,110082,Delhi,North West Delhi
New Multan Nagar B.O,110056,Delhi,North West Delhi
Nimri S.O,110052,Delhi,North West Delhi
Nirankari Colony S.O,110009,Delhi,North West Delhi
Nizampur B.O,110081,Delhi,North West Delhi
Onkar Nagar S.O,110035,Delhi,North West Delhi
Padam Nagar S.O (North Delhi),110007,Delhi,North Delhi
Palla B.O,110036,Delhi,North West Delhi
Patrachar Vidyalay S.O,110054,Delhi,North Delhi
Pehlad Pur B.O,110042,Delhi,North West Delhi
Pooth Kalan B.O,110086,Delhi,North West Delhi
Pooth Kalan Resettlement S.O,110086,Delhi,North West Delhi
Pooth Khurd B.O,110039,Delhi,North West Delhi
Power House S.O,110035,Delhi,North West Delhi
Prashant Vihar S.O,110085,Delhi,North West Delhi
Prem Nagar B.O,110086,Delhi,North West Delhi
Punjab Khor B.O,110081,Delhi,North West Delhi
Qutabagarh B.O,110039,Delhi,North West Delhi
R.C.A.O. S.O,110007,Delhi,North Delhi
Rampura B.O,110035,Delhi,North West Delhi
Rana Pratap Bagh S.O,110007,Delhi,North Delhi
Rani Bagh S.O,110034,Delhi,North West Delhi
Rani Khera B.O,110081,Delhi,North West Delhi
Rithala B.O,110085,Delhi,North West Delhi
Rohini Courts S.O,110085,Delhi,North West Delhi
Rohini sec-11 S.O,110085,Delhi,North West Delhi
Rohini Sector 15 S.O,110089,Delhi,North West Delhi
Rohini Sector 5 S.O,110085,Delhi,North West Delhi
Rohini Sector-7 S.O,110085,Delhi,North West Delhi
Roop Nagar S.O,110007,Delhi,North Delhi
Roshan Ara Road S.O,110007,Delhi,North Delhi
S.T. Road S.O,110006,Delhi,North Delhi
Samai Pur S.O,110042,Delhi,North West Delhi
Sanoth B.O B.O,110040,Delhi,North West Delhi
Sarai Rohilla S.O,110035,Delhi,North West Delhi
Saraswati Vihar S.O,110034,Delhi,North West Delhi
Satyawati Nagar S.O,110052,Delhi,North West Delhi
Shahbad Daulatpur B.O,110042,Delhi,North West Delhi
Shakti Nagar S.O (North Delhi),110007,Delhi,North Delhi
Shakur Basti Depot S.O,110056,Delhi,North West Delhi
Shakur Pur I  Block S.O,110034,Delhi,North West Delhi
Shakurbasti Rs S.O,110034,Delhi,North West Delhi
Shalamar B.O,110088,Delhi,North West Delhi
Shalimar Bagh S.O (North West Delhi),110088,Delhi,North West Delhi
Shastri Nagar S.O (North West Delhi),110052,Delhi,North West Delhi
Singhu B.O,110040,Delhi,North West Delhi
Siraspur B.O,110042,Delhi,North West Delhi
Sri Nagar Colony S.O,110034,Delhi,North West Delhi
Sultanpuri B Block S.O,110086,Delhi,North West Delhi
Sultanpuri C Block S.O,110086,Delhi,North West Delhi
Sultanpuri F Block S.O,110086,Delhi,North West Delhi
Tajpur Kalan B.O,110036,Delhi,North West Delhi
Tikri Khurd B.O,110040,Delhi,North West Delhi
Timarpur S.O,110054,Delhi,North Delhi
Wazir Pur III S.O,110052,Delhi,North West Delhi
Wazirabad Village S.O,110084,Delhi,North Delhi
A.G.C.R. S.O,110002,Delhi,Central Delhi
A.K.Market S.O,110055,Delhi,Central Delhi
Ajmeri Gate Extn. S.O,110002,Delhi,Central Delhi
Anand Parbat Indl. Area S.O,110005,Delhi,Central Delhi
Anand Parbat S.O,110005,Delhi,Central Delhi
Bank Street S.O (Central Delhi),110005,Delhi,Central Delhi
Baroda House S.O,110001,Delhi,Central Delhi
Bengali Market S.O,110001,Delhi,Central Delhi
Bhagat Singh Market S.O,110001,Delhi,Central Delhi
Connaught Place S.O,110001,Delhi,Central Delhi
Constitution House S.O,110001,Delhi,Central Delhi
Dada Ghosh Bhawan S.O,110008,Delhi,Central Delhi
Darya Ganj S.O,110002,Delhi,Central Delhi
Delhi High Court Extension Counter S.O,110003,Delhi,Central Delhi
Delhi High Court S.O,110003,Delhi,Central Delhi
Desh Bandhu Gupta Road S.O,110005,Delhi,Central Delhi
Election Commission S.O,110001,Delhi,Central Delhi
Gandhi Smarak Nidhi S.O,110002,Delhi,Central Delhi
Guru Gobind Singh Marg S.O,110005,Delhi,Central Delhi
Hauz Qazi S.O,110006,Delhi,Central Delhi
I.A.R.I. S.O,110012,Delhi,Central Delhi
I.P.Estate S.O,110002,Delhi,Central Delhi
Inderpuri S.O,110012,Delhi,Central Delhi
Indraprastha H.O,110002,Delhi,Central Delhi
Jama Masjid S.O,110006,Delhi,Central Delhi
Janpath S.O,110001,Delhi,Central Delhi
Karol Bagh S.O,110005,Delhi,Central Delhi
Krishi Bhawan S.O,110001,Delhi,Central Delhi
Lady Harding Medical College S.O,110001,Delhi,Central Delhi
Master Prithvi Nath Marg S.O,110005,Delhi,Central Delhi
Minto Road S.O,110002,Delhi,Central Delhi
Multani Dhanda S.O,110055,Delhi,Central Delhi
National Physical Laboratory S.O,110012,Delhi,Central Delhi
Nirman Bhawan S.O,110011,Delhi,Central Delhi
North Avenue S.O,110001,Delhi,Central Delhi
Pahar Ganj S.O,110055,Delhi,Central Delhi
Pandara Road S.O,110003,Delhi,Central Delhi
Parliament House S.O,110001,Delhi,Central Delhi
Patel Nagar East S.O,110008,Delhi,Central Delhi
Patel Nagar S.O (Central Delhi),110008,Delhi,Central Delhi
Patel Nagar South S.O,110008,Delhi,Central Delhi
Patel Nagar West S.O,110008,Delhi,Central Delhi
Patiala House S.O,110001,Delhi,Central Delhi
Pragati Maidan Camp S.O,110001,Delhi,Central Delhi
Pragati Maidan S.O,110001,Delhi,Central Delhi
Rail Bhawan S.O,110001,Delhi,Central Delhi
Rajender Nagar S.O,110060,Delhi,Central Delhi
Rashtrapati Bhawan S.O,110004,Delhi,Central Delhi
Sansad Marg H.O,110001,Delhi,Central Delhi
Sansadiya Soudh S.O,110001,Delhi,Central Delhi
Sat Nagar S.O,110005,Delhi,Central Delhi
Secretariat North S.O,110001,Delhi,Central Delhi
Shastri Bhawan S.O,110001,Delhi,Central Delhi
South Avenue S.O,110011,Delhi,Central Delhi
Supreme Court S.O,110001,Delhi,Central Delhi
Swami Ram Tirth Nagar S.O,110055,Delhi,Central Delhi
Udyog Bhawan S.O,110011,Delhi,Central Delhi
Union Public Service Commission S.O,110069,Delhi,Central Delhi
New Delhi G.P.O. ,110001,Delhi,New Delhi
Abul Fazal Enclave-I S.O,110025,Delhi,South Delhi
Air Force Station Tugalkabad S.O,110062,Delhi,South Delhi
Alaknanda S.O,110019,Delhi,South Delhi
Ali B.O,110076,Delhi,South Delhi
Aliganj S.O (South Delhi),110003,Delhi,South Delhi
Amar Colony S.O,110024,Delhi,South Delhi
Andrewsganj S.O,110049,Delhi,South Delhi
Badarpur S.O (South Delhi),110044,Delhi,South Delhi
BSF Camp Tigri S.O,110062,Delhi,South Delhi
BTPS S.O (South Delhi),110044,Delhi,South Delhi
C G O Complex S.O,110003,Delhi,South Delhi
C R R I S.O (South Delhi),110020,Delhi,South Delhi
Chittranjan Park S.O,110019,Delhi,South Delhi
Dakshinpuri Phase-I S.O,110062,Delhi,South Delhi
Dakshinpuri Phase-II S.O,110062,Delhi,South Delhi
Dakshinpuri Phase-III S.O,110062,Delhi,South Delhi
Dargah Sharif S.O,110013,Delhi,South Delhi
Defence Colony S.O (South Delhi),110024,Delhi,South Delhi
Deoli B.O,110062,Delhi,South Delhi
"Distt. Court Complex, Saket S.O",110017,Delhi,South Delhi
Dr. Ambedkar Nagar S.O (South Delhi),110062,Delhi,South Delhi
East Of Kailash Phase-I S.O,110065,Delhi,South Delhi
East Of Kailash S.O,110065,Delhi,South Delhi
F F C Okhla S.O,110020,Delhi,New Delhi
Gautam Nagar S.O,110049,Delhi,South Delhi
Golf Links S.O,110003,Delhi,South Delhi
Greater Kailash S.O,110048,Delhi,South Delhi
Gulmohar Park S.O,110049,Delhi,South Delhi
Hamdard Nagar S.O,110062,Delhi,South Delhi
Hari Nagar Ashram S.O,110014,Delhi,South Delhi
Hazrat Nizamuddin S.O,110013,Delhi,South Delhi
Jaitpur B.O,110044,Delhi,South Delhi
Jaitpur S.O (South Delhi),110044,Delhi,South Delhi
Jamia Nagar S.O,110025,Delhi,South Delhi
Jeevan Nagar B.O,110014,Delhi,South Delhi
Jungpura S.O,110014,Delhi,South Delhi
Kailash Colony S.O,110048,Delhi,South Delhi
Kalkaji H.O,110019,Delhi,South Delhi
Kasturba Nagar S.O (South Delhi),110003,Delhi,South Delhi
Khanpur S.O (South Delhi),110062,Delhi,South Delhi
Krishna Market S.O,110024,Delhi,South Delhi
Lajpat Nagar (South Delhi) S.O,110024,Delhi,South Delhi
Lal Kuan B.O,110044,Delhi,South Delhi
Lodi Road H.O,110003,Delhi,South Delhi
Madanpur Khadar B.O,110076,Delhi,South Delhi
Malviya Nagar S.O (South Delhi),110017,Delhi,South Delhi
Masjid Moth S.O,110048,Delhi,South Delhi
MMTC/STC Colony S.O,110017,Delhi,South Delhi
Molarband B.O,110044,Delhi,South Delhi
Nehru Nagar S.O (South Delhi),110065,Delhi,South Delhi
Nehru Place S.O,110019,Delhi,South Delhi
New Delhi South Ext-II S.O,110049,Delhi,South Delhi
New Friends Colony S.O,110025,Delhi,South Delhi
Okhla Industrial Area Phase-i S.O,110020,Delhi,South Delhi
Okhla Industrial Estate S.O,110020,Delhi,South Delhi
Panchsheel Enclave S.O,110017,Delhi,South Delhi
Pragati Vihar S.O,110003,Delhi,South Delhi
Pratap Market S.O,110014,Delhi,South Delhi
Pul Pahladpur B.O,110044,Delhi,South Delhi
Pushp Vihar S.O,110017,Delhi,South Delhi
Pushpa Bhawan S.O,110062,Delhi,South Delhi
Sadiq Nagar S.O,110049,Delhi,South Delhi
Safdarjung Air Port S.O,110003,Delhi,South Delhi
Sahpurjat B.O,110049,Delhi,South Delhi
Saket S.O (South Delhi),110017,Delhi,South Delhi
Sangam Vihar S.O,110080,Delhi,South Delhi
Sant Nagar S.O (South Delhi),110065,Delhi,South Delhi
Sarita Vihar S.O,110076,Delhi,South Delhi
Sarvodya Enclave S.O,110017,Delhi,South Delhi
South Malviya Nagar S.O,110017,Delhi,South Delhi
Sriniwaspuri S.O,110065,Delhi,South Delhi
Sukhdev Vihar S.O,110025,Delhi,South Delhi
Talimabad S.O,110062,Delhi,South Delhi
Tehkhand B.O,110020,Delhi,South Delhi
Tugalkabad B.O,110044,Delhi,South Delhi
Tugalkabad Railway Colony S.O,110044,Delhi,South Delhi
Zakir Nagar S.O,110025,Delhi,South Delhi
505 A B Workshop S.O,110010,Delhi,South West Delhi
A F Palam S.O,110010,Delhi,South West Delhi
A F Rajokari S.O,110038,Delhi,South West Delhi
Anand Niketan S.O,110021,Delhi,South West Delhi
Ansari Nagar S.O,110029,Delhi,South West Delhi
Aps Colony B.O,110010,Delhi,South West Delhi
Arjungarh S.O,110047,Delhi,South West Delhi
Aya Nagar B.O,110047,Delhi,South West Delhi
Bazar Road S.O,110010,Delhi,South West Delhi
Bijwasan S.O,110061,Delhi,South West Delhi
C.S.K.M. School B.O,110074,Delhi,South West Delhi
C.V.D. S.O,110010,Delhi,South West Delhi
Chanakya Puri S.O,110021,Delhi,South West Delhi
Chandanhoola B.O,110074,Delhi,South West Delhi
Chattarpur S.O,110074,Delhi,South West Delhi
COD S.O (South West Delhi),110010,Delhi,South West Delhi
Delhi Cantt S.O,110010,Delhi,South West Delhi
Dera B.O,110074,Delhi,South West Delhi
Dhaula Kuan S.O,110010,Delhi,South West Delhi
Fatehpur Beri B.O,110074,Delhi,South West Delhi
Gadaipur B.O,110030,Delhi,South West Delhi
Ghitorni B.O,110030,Delhi,South West Delhi
Green Park Market S.O,110016,Delhi,South West Delhi
Gurgaon Road S.O,110037,Delhi,South West Delhi
Hauz Khas Market S.O,110016,Delhi,South West Delhi
Hauz Khas S.O,110016,Delhi,South West Delhi
IGI Airport S.O,110037,Delhi,South West Delhi
Ignou S.O,110068,Delhi,South West Delhi
IT Hauz Khas S.O,110016,Delhi,South West Delhi
J.N.U. S.O,110067,Delhi,South West Delhi
Jaunapur B.O,110047,Delhi,South West Delhi
JNU New Campus S.O,110067,Delhi,South West Delhi
Kapashera S.O.,110097,Delhi,South West Delhi
Kidwai Nagar East S.O,110023,Delhi,South West Delhi
Kidwai Nagar West S.O,110023,Delhi,South West Delhi
Kirby Place S.O,110010,Delhi,South West Delhi
Lado Sarai B.O,110030,Delhi,South West Delhi
Laxmi Bai Nagar S.O,110023,Delhi,South West Delhi
Mahipalpur B.O,110037,Delhi,South West Delhi
Maidan Garhi B.O,110068,Delhi,South West Delhi
Malcha Marg S.O,110021,Delhi,South West Delhi
Mandi B.O,110047,Delhi,South West Delhi
Masood Pur B.O,110070,Delhi,South West Delhi
Mehrauli S.O,110030,Delhi,South West Delhi
Moti Bagh S.O,110021,Delhi,South West Delhi
Munirka S.O,110067,Delhi,South West Delhi
Nanak Pura S.O,110021,Delhi,South West Delhi
Nangal Dewat B.O,110037,Delhi,South West Delhi
Nauroji Nagar S.O,110029,Delhi,New Delhi
Netaji Nagar S.O (South West Delhi),110023,Delhi,South West Delhi
NIE Campus S.O,110016,Delhi,South West Delhi
Palam Airport S.O,110037,Delhi,South West Delhi
Paryavaran Complex S.O,110030,Delhi,South West Delhi
Pinto Park S.O,110010,Delhi,South West Delhi
R K Puram (Main) S.O,110066,Delhi,South West Delhi
R K Puram Sect-1 S.O,110022,Delhi,South West Delhi
R K Puram Sect-12 S.O,110022,Delhi,South West Delhi
R K Puram Sect-3 S.O,110022,Delhi,South West Delhi
R K Puram Sect-4 S.O,110022,Delhi,South West Delhi
R K Puram Sect-5 S.O,110022,Delhi,South West Delhi
R K Puram Sect7 S.O,110022,Delhi,South West Delhi
R K Puram Sect-8 S.O,110022,Delhi,South West Delhi
R K Puram Sector - 6 Postal SB S.O,110022,Delhi,South West Delhi
R K Puram West S.O,110066,Delhi,South West Delhi
R R Hospital S.O,110010,Delhi,South West Delhi
Rajokari B.O,110038,Delhi,South West Delhi
Safdarjung Enclave S.O,110029,Delhi,South West Delhi
Sanjay Colony Bhati Mines B.O,110074,Delhi,South West Delhi
Sarojini Nagar H.O,110023,Delhi,South West Delhi
Satbari B.O,110074,Delhi,South West Delhi
Sawan Public School B.O,110074,Delhi,South West Delhi
Shahbad Mohammadpur B.O,110061,Delhi,South West Delhi
Signal Enclave S.O,110010,Delhi,South West Delhi
South Delhi Campus S.O,110021,Delhi,South West Delhi
Station Road S.O (South West Delhi),110010,Delhi,South West Delhi
Subroto Park S.O,110010,Delhi,South West Delhi
Sultanpur B.O,110030,Delhi,South West Delhi
T B Hospital S.O,110030,Delhi,South West Delhi
Technology Bhawan S.O,110016,Delhi,South West Delhi
Vasant Kunj Pkt-A S.O,110070,Delhi,South West Delhi
Vasant Kunj S.O,110070,Delhi,South West Delhi
Vasant Vihar-1 S.O,110057,Delhi,South West Delhi
Vasant Vihar-2 S.O,110057,Delhi,South West Delhi
Amberhai B.O,110075,Delhi,South West Delhi
Ashok Nagar S.O (West Delhi),110018,Delhi,West Delhi
Ashoka Park Extn. S.O,110026,Delhi,West Delhi
Badusarai B.O,110071,Delhi,South West Delhi
Bagdola B.O,110077,Delhi,South West Delhi
Bakkarwala B.O,110041,Delhi,West Delhi
Baprola B.O,110043,Delhi,South West Delhi
Barthal B.O,110077,Delhi,South West Delhi
Chand Nagar S.O,110018,Delhi,West Delhi
Chaukhandi B.O,110018,Delhi,West Delhi
Chhawla S.O,110071,Delhi,South West Delhi
CRPF Jharoda Kalan S.O,110072,Delhi,South West Delhi
D. K. Mohan Garden S.O,110059,Delhi,West Delhi
D.E.S.U. Colony S.O,110058,Delhi,West Delhi
Dabri B.O,110045,Delhi,South West Delhi
Daulatpur B.O,110043,Delhi,South West Delhi
DC Goyla B.O,110071,Delhi,South West Delhi
Delhi Industrial Area S.O,110015,Delhi,West Delhi
Dhansa B.O,110073,Delhi,South West Delhi
Dhulsiras B.O,110077,Delhi,South West Delhi
Dichaun Kalan B.O,110043,Delhi,South West Delhi
Dindarpur B.O,110043,Delhi,South West Delhi
District Court Complex Dwarka S.O,110075,Delhi,South West Delhi
"Distt. Court Complex, Dwarka S.O",110078,Delhi,West Delhi
Dwarka Sec-6 S.O,110075,Delhi,South West Delhi
ESI S.O,110015,Delhi,West Delhi
Fateh Nagar S.O,110018,Delhi,West Delhi
Galib Pur B.O,110073,Delhi,South West Delhi
GGSIP University S.O,110078,Delhi,West Delhi
Ghuman Hera B.O,110073,Delhi,South West Delhi
Hari Nagar BE Block S.O,110064,Delhi,West Delhi
Hari Nagar Dadb Block S.O,110064,Delhi,West Delhi
Hari Nagar S.O (West Delhi),110064,Delhi,West Delhi
Hastal Village B.O,110059,Delhi,West Delhi
Hirankudna B.O,110041,Delhi,West Delhi
Indira Park B.O,110045,Delhi,South West Delhi
Issapur B.O,110073,Delhi,South West Delhi
Jafarpur B.O,110073,Delhi,South West Delhi
Jail Road S.O (West Delhi),110058,Delhi,West Delhi
Janakpuri A-3 S.O,110058,Delhi,West Delhi
Janakpuri B-1 S.O,110058,Delhi,West Delhi
Janakpuri C-4 S.O,110058,Delhi,West Delhi
Janta Market S.O,110027,Delhi,West Delhi
Jawala Heri B.O,110063,Delhi,West Delhi
Jeevan Park B.O,110059,Delhi,West Delhi
Jharoda Kalan B.O,110072,Delhi,South West Delhi
Jhatikara B.O,110043,Delhi,South West Delhi
Jwala Puri S.O,110087,Delhi,West Delhi
Kair B.O,110028,Delhi,South West Delhi
Kakrola B.O,110078,Delhi,South West Delhi
Kangan Heri B.O,110071,Delhi,South West Delhi
Karam Pura S.O,110015,Delhi,West Delhi
Khaira B.O,110028,Delhi,South West Delhi
Khera Dabur B.O,110073,Delhi,South West Delhi
Khyala Phase -  I S.O,110018,Delhi,West Delhi
Khyala Phase - II S.O,110018,Delhi,West Delhi
L. M. Nagar Indl. Area S.O,110015,Delhi,West Delhi
M.B.S. Nagar S.O,110018,Delhi,West Delhi
Madipur Slum Quarter S.O,110063,Delhi,West Delhi
Madipur Village S.O,110063,Delhi,West Delhi
Mahabir Nagar S.O,110018,Delhi,West Delhi
Malik Pur B.O,110073,Delhi,South West Delhi
Mansarover Garden S.O,110015,Delhi,West Delhi
Matiala B.O,110059,Delhi,West Delhi
Maya Puri S.O,110064,Delhi,South West Delhi
Mayapuri Shopping Centre S.O,110064,Delhi,South West Delhi
Mitraon B.O,110043,Delhi,South West Delhi
Mundela Kalan B.O,110073,Delhi,South West Delhi
Mundka B.O,110041,Delhi,West Delhi
N.I.Area S.O,110015,Delhi,West Delhi
N.S.I.T. Dwarka S.O,110078,Delhi,South West Delhi
Najafgarh S.O,110043,Delhi,South West Delhi
Nangal Raya S.O,110046,Delhi,South West Delhi
Nangloi - II B.O,110041,Delhi,West Delhi
Nangloi - III S.O,110041,Delhi,West Delhi
Nangloi S.O,110041,Delhi,West Delhi
Naraina Industrial Estate H.O,110028,Delhi,South West Delhi
Naraina Village S.O,110028,Delhi,South West Delhi
Nasirpur B.O,110045,Delhi,South West Delhi
Nilothi B.O,110041,Delhi,West Delhi
Palam Extn (Harijan Basti) S.O,110077,Delhi,West Delhi
Palam Village S.O,110045,Delhi,South West Delhi
Pandwala Kalan B.O,110043,Delhi,South West Delhi
Papravat B.O,110043,Delhi,South West Delhi
Paschim Vihar B Block S.O,110063,Delhi,West Delhi
Paschim Vihar S.O,110063,Delhi,West Delhi
Peeragarhi B.O,110063,Delhi,West Delhi
Punjabi Bagh S.O,110026,Delhi,West Delhi
